epoch,accuracy,categorical_crossentropy,loss,val_accuracy,val_categorical_crossentropy,val_loss
0,0.9322012662887573,0.2089889794588089,0.2089889794588089,0.9708226919174194,0.10523241758346558,0.10523241758346558
1,0.9718473553657532,0.09458577632904053,0.09458577632904053,0.9740110635757446,0.09145751595497131,0.09145751595497131
2,0.9803500175476074,0.065231092274189,0.065231092274189,0.9796092510223389,0.06786766648292542,0.06786766648292542
3,0.9858371615409851,0.047594595700502396,0.047594595700502396,0.9851703643798828,0.0543532632291317,0.0543532632291317
4,0.9885066151618958,0.03852882236242294,0.03852882236242294,0.988358736038208,0.04209456220269203,0.04209456220269203
5,0.9908547401428223,0.03132719174027443,0.03132719174027443,0.9904719591140747,0.03191296011209488,0.03191296011209488
6,0.9920781850814819,0.02739272452890873,0.02739272452890873,0.9906573295593262,0.02945856563746929,0.02945856563746929
7,0.9930915832519531,0.022921482101082802,0.022921482101082802,0.9877655506134033,0.04463639855384827,0.04463639855384827
8,0.9943274259567261,0.019089749082922935,0.019089749082922935,0.992918848991394,0.026746034622192383,0.026746034622192383
9,0.9949824213981628,0.01716684363782406,0.01716684363782406,0.9937344789505005,0.0223077442497015,0.0223077442497015
10,0.9956621527671814,0.014770510606467724,0.014770510606467724,0.9931783676147461,0.0253483597189188,0.0253483597189188
11,0.9961194396018982,0.013604042120277882,0.013604042120277882,0.9952174425125122,0.01760254241526127,0.01760254241526127
12,0.9964778423309326,0.011687777936458588,0.011687777936458588,0.9946613311767578,0.019793810322880745,0.019793810322880745
13,0.996860921382904,0.010931219905614853,0.010931219905614853,0.9952915906906128,0.017346084117889404,0.017346084117889404
14,0.9971822500228882,0.009706390090286732,0.009706390090286732,0.9939569234848022,0.02092832140624523,0.02092832140624523
15,0.9972193241119385,0.00917782448232174,0.00917782448232174,0.9951803684234619,0.01602148450911045,0.01602148450911045
16,0.9977754950523376,0.008030385710299015,0.008030385710299015,0.9953657388687134,0.016975464299321175,0.016975464299321175
17,0.9978619813919067,0.007519627455621958,0.007519627455621958,0.9954769611358643,0.01828383281826973,0.01828383281826973
0,0.9976148009300232,0.008049692027270794,0.008049692027270794,0.9955140352249146,0.01598544977605343,0.01598544977605343
1,0.9977013468742371,0.007795057725161314,0.007795057725161314,0.9959589242935181,0.01412633154541254,0.01412633154541254
2,0.9985169768333435,0.006038984749466181,0.006038984749466181,0.9961072206497192,0.014767770655453205,0.014767770655453205
3,0.998529314994812,0.005721546709537506,0.005721546709537506,0.9956252574920654,0.014475516974925995,0.01447551790624857
0,0.998245120048523,0.00622170977294445,0.00622170977294445,0.9954028129577637,0.016931001096963882,0.016931001096963882
1,0.9982203841209412,0.006119382567703724,0.006119382567703724,0.9961813688278198,0.014599182642996311,0.014599182642996311
2,0.9989001154899597,0.004681829363107681,0.004681829363107681,0.9957735538482666,0.015324079431593418,0.015324079431593418
3,0.9985663890838623,0.005299789365381002,0.005299789365381002,0.9945871829986572,0.021440526470541954,0.021440524607896805
0,0.9984922409057617,0.005596484988927841,0.005596484988927841,0.9959589242935181,0.0145563380792737,0.0145563380792737
1,0.9988135695457458,0.00478905625641346,0.00478905625641346,0.9961072206497192,0.014948615804314613,0.014948615804314613
2,0.9986652731895447,0.004885753616690636,0.004885753616690636,0.9948837757110596,0.019413549453020096,0.019413549453020096
0,0.9989124536514282,0.004512963350862265,0.004512963350862265,0.9936974048614502,0.019779156893491745,0.019779156893491745
1,0.9988630414009094,0.00455407565459609,0.00455407565459609,0.9952174425125122,0.019048137590289116,0.019048137590289116
2,0.9990113377571106,0.0039292010478675365,0.0039292010478675365,0.9955140352249146,0.015955384820699692,0.015955384820699692
3,0.9987147450447083,0.004315024241805077,0.004315024241805077,0.9953657388687134,0.01727929338812828,0.01727929338812828
4,0.9991225600242615,0.0037087113596498966,0.0037087115924805403,0.995699405670166,0.01842600107192993,0.01842600107192993
0,0.9971081614494324,0.010791689157485962,0.010791689157485962,0.9958477020263672,0.014730457216501236,0.014730457216501236
1,0.9975530505180359,0.008768262341618538,0.008768262341618538,0.995069146156311,0.01837780885398388,0.01837780885398388
2,0.9981091618537903,0.007063012104481459,0.007063012104481459,0.9967374801635742,0.013095276430249214,0.013095276430249214
3,0.9984428286552429,0.006258103530853987,0.006258103530853987,0.9965521097183228,0.012961185537278652,0.012961185537278652
4,0.9985540509223938,0.005308146588504314,0.005308146588504314,0.9964038133621216,0.013897260650992393,0.013897260650992393
5,0.9986035227775574,0.004848165903240442,0.004848165903240442,0.9955511093139648,0.017825748771429062,0.017825748771429062
0,0.998331606388092,0.005752926226705313,0.005752926226705313,0.9959959983825684,0.015636799857020378,0.015636799857020378
1,0.998677670955658,0.004899515304714441,0.004899515304714441,0.9962184429168701,0.014269113540649414,0.014269113540649414
2,0.9989619255065918,0.004022117704153061,0.004022117704153061,0.9944759607315063,0.022943854331970215,0.022943854331970215
3,0.9988877773284912,0.004103313200175762,0.004103313200175762,0.9957735538482666,0.01681518740952015,0.01681518740952015
0,0.9989495277404785,0.004146515391767025,0.004146515391767025,0.9959959983825684,0.014776945114135742,0.014776945114135742
1,0.999394416809082,0.0031284361612051725,0.0031284361612051725,0.9962555170059204,0.013845842331647873,0.013845842331647873
2,0.9990978240966797,0.003277477575466037,0.003277477575466037,0.9959959983825684,0.018194537609815598,0.018194537609815598
3,0.9988630414009094,0.004421367309987545,0.004421367309987545,0.996959924697876,0.012668334878981113,0.012668334878981113
4,0.9994933009147644,0.002290118485689163,0.002290118485689163,0.9965521097183228,0.014040996320545673,0.014040996320545673
5,0.9992708563804626,0.002684769919142127,0.002684769919142127,0.9965150356292725,0.013407411053776741,0.013407411053776741
0,0.9994191527366638,0.002475196495652199,0.002475196495652199,0.9955511093139648,0.019657893106341362,0.019657893106341362
1,0.9994562268257141,0.002389648463577032,0.002389648463577032,0.996329665184021,0.01529999915510416,0.01529999915510416
2,0.9994685649871826,0.002206437988206744,0.002206437988206744,0.9955881834030151,0.016977939754724503,0.016977939754724503
3,0.9997652173042297,0.0014790022978559136,0.0014790022978559136,0.996589183807373,0.015113298781216145,0.015113298781216145
4,0.9998887777328491,0.0010526543483138084,0.0010526542318984866,0.9968857765197754,0.014865705743432045,0.014865705743432045
5,0.9999135136604309,0.000913476396817714,0.000913476396817714,0.9969969987869263,0.014273973181843758,0.014273973181843758
